No.,회계연도,소관명,회계명,단위사업명,연간계획(억원),1월집행금액(억원),2월집행금액(억원),3월집행금액(억원),4월집행금액(억원),5월집행금액(억원),6월집행금액(억원),7월집행금액(억원),8월집행금액(억원),9월집행금액(억원),10월집행금액(억원),11월집행금액(억원),12월집행금액(억원)
"1","2014","해양수산부","광역지역발전특별회계","어업기반정비","1,775",0,342,542,542,842,"1,142","1,142","1,142","1,142","1,214","1,214","1,255"
"2","2014","해양수산부","교통시설특별회계","부산항 신항만 개발","1,298",305,361,602,639,661,795,805,816,834,846,863,"1,039"
"3","2014","해양수산부","교통시설특별회계","여수광양항만공사 지원",500,0,51,51,500,500,500,500,500,500,500,500,500
"4","2014","해양수산부","교통시설특별회계","인천북항 개발",734,188,188,312,356,367,451,673,678,682,690,692,719
"5","2014","해양수산부","교통시설특별회계","인천신항 개발",524,10,115,115,140,169,219,220,220,228,230,231,310
"6","2014","해양수산부","교통시설특별회계","일반항 건설","2,600",0,48,226,428,512,887,"1,020","1,090","1,198","1,239","1,336","1,687"
"7","2014","해양수산부","교통시설특별회계","주요항 건설","2,006",20,159,326,470,702,932,"1,053","1,077","1,129","1,171","1,217","1,587"
"8","2014","해양수산부","교통시설특별회계","포항영일만신항 개발",660,6,132,295,299,336,449,541,552,611,612,652,731
"9","2014","해양수산부","교통시설특별회계","항로표지시설 확충 및 안전관리",758,0,41,118,147,197,256,280,302,329,358,400,579
"10","2014","해양수산부","교통시설특별회계","항만시설유지보수(교특)","1,645",5,81,119,233,389,568,677,776,878,952,"1,088","1,389"
"11","2014","해양수산부","농어촌구조개선특별회계","수산금융자금이차보전",962,0,51,115,182,327,427,427,443,443,564,580,596
"12","2014","해양수산부","농어촌구조개선특별회계","수산물유통개선(농특)",718,0,0,153,290,354,363,363,363,363,378,378,433
"13","2014","해양수산부","농어촌구조개선특별회계","수산자원조성",914,0,116,262,318,471,472,475,482,635,715,717,818
"14","2014","해양수산부","농어촌구조개선특별회계","어항기반시설조성(농특)","2,106",122,245,324,468,574,759,890,"1,007","1,111","1,257","1,291","1,825"
"15","2014","해양수산부","농어촌구조개선특별회계","재해대책","1,035",5,329,329,658,677,706,746,778,894,897,897,903
"16","2014","해양수산부","농어촌구조개선특별회계","친환경어업(농특)",767,3,10,341,535,595,615,633,641,650,669,681,710
"17","2014","해양수산부","일반회계","어업질서 확립",657,79,143,211,246,324,398,460,492,506,546,622,655
"18","2014","해양수산부","일반회계","연구장비개발 및 인프라구축(R&D)","1,261",0,0,771,"1,100","1,100","1,100","1,100","1,236","1,236","1,236","1,236","1,251"
"19","2014","해양수산부","일반회계","연안환경관리(일반)",742,13,33,43,78,96,129,171,204,233,273,333,516
"20","2014","해양수산부","일반회계","울산신항 개발",731,20,108,119,128,256,305,311,317,362,403,417,613
"21","2014","해양수산부","일반회계","한국해양과학기술원 운영지원","1,554",0,353,353,723,723,723,913,"1,113","1,141","1,355","1,554","1,554"
"22","2014","해양수산부","일반회계","해양지형조사 및 정보제공",900,15,36,121,333,383,413,456,527,554,582,597,794
"23","2014","해양수산부","수산발전기금","수산물가격안정(기금)",757,0,0,81,81,173,173,269,269,409,826,857,789
"24","2014","해양수산부","수산발전기금","수산물가격안정(기금·융자)","1,852",0,0,549,843,"1,134","1,190","1,209","1,396","1,515","1,691","1,735","1,878"
"25","2014","해양수산부","수산발전기금","수산물유통자금지원(기금)","1,600",70,105,600,749,759,866,868,958,"1,150","1,228","1,243","1,249"
"26","2014","해양수산부","수산발전기금","어업경영자금(기금)",702,0,0,26,192,192,192,552,552,652,652,652,702